Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
TGFBR2,transforming growth factor beta receptor II,7048,3:30648093-30735634,1,Yes,24.1,yes,yes,"head and neck, colorectal",colorectal,Hereditary Nonpolyposis Colorectal Cancer type 6,E,Rec,TSG,"Mis, F, N",,yes,Loeys-Dietz syndrome 2,"7048,ENSG00000163513.13,MFS2,P37173,TBR-ii,TBRII,TGFBR2"
TMEM127,transmembrane protein 127,55654,2:96914254-96931732,1,,11.2,,yes,,"pheochromocytoma, renal cell carcinoma",,"O, E",Rec,TSG,"F, N",,,,"55654,ENSG00000135956.4,FLJ20507,FLJ22257,O75204,TMEM127"
TNFAIP3,"tumor necrosis factor, alpha-induced protein 3",7128,6:138188581-138204449,1,Yes,23.3,yes,,"marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL",,,L,Rec,TSG,"D, N, F",,,,"7128,A20,ENSG00000118503.10,OTUD7C,P21580,TNFAIP3"
TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",8764,1:2487805-2495268,1,,36.32,yes,,follicular lymphoma,,,L,Rec,TSG,"Mis, N, F",,,,"8764,ATAR,CD270,ENSG00000157873.13,HVEA,HVEM,LIGHTR,Q92956,TNFRSF14,TR2"
TP53,tumor protein p53,7157,17:7571720-7590856,1,Yes,13.1,yes,yes,"breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types","breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types",Li-Fraumeni syndrome,"L, E, M, O",Rec,"oncogene, TSG, fusion","Mis, N, F, T",NTRK1,,,"7157,ENSG00000141510.11,LFS1,P04637,TP53,p53"
TP63,tumor protein p63,8626,3:189349216-189615068,1,Yes,28,yes,yes,"HNSCC, DLBCL",NSCLC,,E,,"oncogene, TSG","Mis, N, T",TBL1XR1,yes,"associated with Hay-Wells syndrome, ADULT syndrome, ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome (EEC), acro-dermato-ungual-lacrimal-tooth syndrome, limb mammary syndrome, Rapp-Hodgkin syndrome, split hand-split foot malformation","8626,EEC3,ENSG00000073282.8,KET,NBP,OFC8,Q9H3D4,SHFM4,TP53CP,TP53L,TP63,TP73L,p51,p53CP,p63,p73H,p73L"
TPM3,tropomyosin 3,7170,1:154139941-154164687,1,,21.3,yes,,"papillary thyroid, ALCL, NSCLC, Spitzoid tumour",,,"E, L",Dom,"TSG, fusion",T,"NTRK1, ALK, ROS1",,,"7170,ENSG00000143549.15,NEM1,P06753,TPM3,TRK"
TRAF7,tumour necrosis factor receptor-associated factor 7,84231,16:2205766-2228130,1,Yes,13.3,yes,,meningioma,,,O,Dom,TSG,Mis,,,,"84231,DKFZp586I021,ENSG00000131653.8,MGC7807,Q6Q0C0,RFWD1,RNF119,TRAF7"
TRIM24,tripartite motif containing 24,8805,7:138145079-138274738,1,,34,yes,,APL,,,L,Dom,"oncogene, TSG, fusion",T,RARA,,,"8805,ENSG00000122779.12,O15164,RNF82,TIF1,TIF1A,TRIM24,Tif1a,hTIF1"
TRIM33,"tripartite motif-containing 33 (PTC7,TIF1G)",51592,1:114935399-115053781,1,,13.2,yes,,papillary thyroid,,,E,Dom,"TSG, fusion",T,RET,,,"51592,ENSG00000197323.6,FLJ11429,KIAA1113,PTC7,Q9UPN9,RFG7,TF1G,TIF1G,TIF1GAMMA,TIFGAMMA,TRIM33"
TSC1,tuberous sclerosis 1 gene,7248,9:135766735-135820008,1,,34.13,yes,yes,"renal cell carcinoma, bladder carcinoma","hamartoma, renal cell carcinoma, tuberous sclerosis tuber",Tuberous sclerosis 1,"E, O",Rec,TSG,"D, Mis, N, F, S",,,,"7248,ENSG00000165699.9,KIAA0243,LAM,Q92574,TSC,TSC1,hamartin"
TSC2,tuberous sclerosis 2 gene,7249,16:2097466-2138713,1,,13.3,yes,yes,"pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC","hamartoma, renal cell carcinoma, tuberous sclerosis tuber",Tuberous sclerosis 2,"E, O",Rec,TSG,"D, Mis, N, F, S",,,,"7249,ENSG00000103197.12,LAM,P49815,PPP1R160,TSC2,TSC4,tuberin"
USP44,ubiquitin specific peptidase 44,84101,12:95910336-95945266,2,,22,yes,,"lung cancer, colon cancer",,,E,,TSG,D,,,,"84101,ENSG00000136014.7,FLJ14528,Q9H0E7,USP44"
VHL,von Hippel-Lindau syndrome gene,7428,3:10182692-10193904,1,Yes,25.3,yes,yes,"renal, haemangioma, pheochromocytoma","renal, haemangioma, pheochromocytoma",Von Hippel-Lindau syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"7428,ENSG00000134086.7,P40337,VHL,VHL1"
WIF1,WNT inhibitory factor 1,11197,12:65444406-65515346,1,Yes,14.3,yes,,pleomorphic salivary gland adenoma,,,E,Dom,"TSG, fusion",T,HMGA2,,,"11197,ENSG00000156076.5,Q9Y5W5,WIF1"
WNK2,WNK lysine deficient protein kinase 2,65268,9:95947212-96080553,2,,22.31,yes,,gastric cancer,,,E,,TSG,Mis,,,,"65268,ENSG00000165238.12,KIAA1760,NY-CO-43,PRKWNK2,Q9Y3S1,SDCCAG43,WNK2"
WRN,Werner syndrome (RECQL2),7486,8:30891317-31031285,1,,12,,yes,,"osteosarcoma, meningioma, other tumour types",Werner syndrome,"L, E, M, O",Rec,TSG,"Mis, N, F, S",,,,"7486,ENSG00000165392.5,Q14191,RECQ3,RECQL2,WRN"
WT1,Wilms tumour 1 gene,7490,11:32409321-32457176,1,,13,yes,yes,"Wilms tumour, desmoplastic small round cell tumour",Wilms tumour,"Denys-Drash syndrome, Frasier syndrome, familial Wilms tumour",O,Rec,"oncogene, TSG, fusion","D, Mis, N, F, S, T",EWSR1,,,"7490,AWT1,ENSG00000184937.8,GUD,NPHS4,WAGR,WIT-2,WT1"
XPA,"xeroderma pigmentosum, complementation group A",7507,9:100437191-100459639,1,,22.33,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (A),E,Rec,TSG,"Mis, N, F, S",,,,"7507,ENSG00000136936.6,P23025,XP1,XPA,XPAC"
XPC,"xeroderma pigmentosum, complementation group C",7508,3:14186647-14220283,1,,25.1,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (C),E,Rec,TSG,"Mis, N, F, S",,,,"7508,ENSG00000154767.10,Q01831,RAD4,XPC,XPCC"
YWHAE,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide (14-3-3 epsilon)",7531,17:1247566-1303672,1,,13.3,yes,,endometrial stromal sarcoma,,,M,Dom,"TSG, fusion",T,"NUTM2A, NUTM2B",yes,Miller-Dieker lissencephaly syndrome,"7531,ENSG00000108953.12,FLJ45465,P62258,YWHAE"
ZBTB16,zinc finger and BTB domain containing 16,7704,11:113930315-114121398,1,Yes,23.2,yes,,APL,,,L,Dom,"TSG, fusion",T,RARA,,,"7704,ENSG00000109906.9,PLZF,Q05516,ZBTB16,ZNF145"
ZFHX3,zinc finger homeobox 3,463,16:72816784-73082274,1,Yes,22.3,yes,,"endometrial, gastric, prostate",,,E,Dom,TSG,"Mis, N",,,,"463,ATBF1,ENSG00000140836.10,Q15911,ZFHX3,ZNF927"
ZMYM3,zinc finger MYM-type containing 3,9203,X:70459474-70474499,2,,13.1,yes,,"CRC, breast cancer",,,E,,TSG,F,,,,"9203,DXS6673E,ENSG00000147130.10,KIAA0385,MYM,Q14202,ZMYM3,ZNF198L2,ZNF261"
ZNF331,zinc finger protein 331,55422,19:54024278-54083523,1,,13.42,yes,,follicular thyroid adenoma,,,E,Dom,"TSG, fusion",T,?,,,"55422,ENSG00000130844.12,Q9NQX6,RITA,ZNF331,ZNF361,ZNF463"
ZNRF3,zinc and ring finger 3,84133,22:29279580-29453475,2,,12.1,yes,,"colorectal cancer, adrenocortical carcinoma, gastric cancer",,,E,,TSG,"N, F, Mis",,,,"84133,BK747E2.3,ENSG00000183579.11,FLJ22057,KIAA1133,Q9ULT6,RNF203,ZNRF3"
ZRSR2,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2",8233,X:15808595-15841383,1,Yes,22.2,yes,,"MDS, CLL",,,L,Rec,TSG,"F, S, Mis",,,,"8233,ENSG00000169249.8,Q15696,U2AF1-RS2,U2AF1L2,URP,ZC3H22,ZRSR2"
